id,article,category,status,text,llm,tool,score,label
71,71,social,native,original,,GPTZero,0.00%,human
72,72,social,native,original,,GPTZero,1.00%,human
73,1,social,non-native,original,,ZeroGPT,0.00%,human
74,2,social,native,original,,ZeroGPT,0.00%,human
75,3,interdisciplinary,native,original,,ZeroGPT,0.00%,human
76,4,interdisciplinary,non-native,original,,ZeroGPT,14.82%,human
77,5,tech&engineering,non-native,original,,ZeroGPT,0.00%,human
78,6,tech&engineering,non-native,original,,ZeroGPT,0.00%,human
79,7,social,native,original,,ZeroGPT,11.90%,human
80,8,interdisciplinary,native,original,,ZeroGPT,0.00%,human
81,9,tech&engineering,native,original,,ZeroGPT,0.00%,human
82,10,social,non-native,original,,ZeroGPT,0.00%,human
83,11,tech&engineering,native,original,,ZeroGPT,0.00%,human
84,12,tech&engineering,non-native,original,,ZeroGPT,0.00%,human
85,13,tech&engineering,native,original,,ZeroGPT,0.00%,human
86,14,tech&engineering,native,original,,ZeroGPT,27.13%,ai
87,15,social,non-native,original,,ZeroGPT,0.00%,human
88,16,interdisciplinary,native,original,,ZeroGPT,0.00%,human
89,17,tech&engineering,native,original,,ZeroGPT,0.00%,human
90,18,interdisciplinary,non-native,original,,ZeroGPT,0.00%,human
91,19,social,non-native,original,,ZeroGPT,26.88%,ai
92,20,tech&engineering,native,original,,ZeroGPT,0.00%,human
93,21,interdisciplinary,non-native,original,,ZeroGPT,0.00%,human
94,22,tech&engineering,non-native,original,,ZeroGPT,0.00%,human
95,23,tech&engineering,non-native,original,,ZeroGPT,23.71%,ai
96,24,interdisciplinary,native,original,,ZeroGPT,8.34%,human
97,25,social,native,original,,ZeroGPT,0.00%,human
98,26,interdisciplinary,native,original,,ZeroGPT,13.16%,human
99,27,interdisciplinary,non-native,original,,ZeroGPT,0.00%,human
100,28,tech&engineering,native,original,,ZeroGPT,0.00%,human
101,29,interdisciplinary,native,original,,ZeroGPT,0.00%,human
102,30,social,non-native,original,,ZeroGPT,0.00%,human
103,31,social,native,original,,ZeroGPT,0.00%,human
104,32,tech&engineering,non-native,original,,ZeroGPT,0.00%,human
105,33,social,native,original,,ZeroGPT,0.00%,human
106,34,interdisciplinary,native,original,,ZeroGPT,0.00%,human
107,35,social,non-native,original,,ZeroGPT,0.00%,human
108,36,interdisciplinary,non-native,original,,ZeroGPT,8.95%,human
109,37,tech&engineering,non-native,original,,ZeroGPT,0.00%,human
110,38,social,native,original,,ZeroGPT,0.00%,human
111,39,interdisciplinary,native,original,,ZeroGPT,27.22%,mixed
112,40,tech&engineering,native,original,,ZeroGPT,16.98%,human
113,41,tech&engineering,non-native,original,,ZeroGPT,28.25%,ai
114,42,interdisciplinary,non-native,original,,ZeroGPT,0.00%,human
115,43,interdisciplinary,native,original,,ZeroGPT,24.12%,ai
116,44,social,non-native,original,,ZeroGPT,0.00%,human
117,45,tech&engineering,native,original,,ZeroGPT,0.00%,human
118,46,interdisciplinary,native,original,,ZeroGPT,23.89%,mixed
119,47,social,non-native,original,,ZeroGPT,0.00%,human
120,48,tech&engineering,native,original,,ZeroGPT,0.00%,human
121,49,interdisciplinary,non-native,original,,ZeroGPT,0.00%,human
122,50,tech&engineering,non-native,original,,ZeroGPT,0.00%,human
123,51,social,native,original,,ZeroGPT,0.00%,human
124,52,social,non-native,original,,ZeroGPT,75.74%,ai
125,53,tech&engineering,non-native,original,,ZeroGPT,0.00%,human
126,54,social,non-native,original,,ZeroGPT,0.00%,human
127,55,tech&engineering,non-native,original,,ZeroGPT,0.00%,human
128,56,social,native,original,,ZeroGPT,0.00%,human
129,57,tech&engineering,non-native,original,,ZeroGPT,0.00%,human
130,58,social,non-native,original,,ZeroGPT,0.00%,human
131,59,interdisciplinary,non-native,original,,ZeroGPT,18.88%,human
132,60,interdisciplinary,non-native,original,,ZeroGPT,0.00%,human
133,61,interdisciplinary,native,original,,ZeroGPT,27.93%,ai
134,62,social,native,original,,ZeroGPT,0.00%,human
135,63,tech&engineering,native,original,,ZeroGPT,0.00%,human
136,64,tech&engineering,native,original,,ZeroGPT,0.00%,human
137,65,interdisciplinary,non-native,original,,ZeroGPT,53.39%,ai
138,66,interdisciplinary,non-native,original,,ZeroGPT,0.00%,human
139,67,interdisciplinary,native,original,,ZeroGPT,36.49%,mixed
140,68,social,non-native,original,,ZeroGPT,0.00%,human
141,69,interdisciplinary,non-native,original,,ZeroGPT,0.00%,human
142,70,social,native,original,,ZeroGPT,58.45%,ai
143,71,social,native,original,,ZeroGPT,0.00%,human
144,72,social,native,original,,ZeroGPT,0.00%,human
145,1,social,non-native,original,,DetectGPT,0.00%,human
146,2,social,native,original,,DetectGPT,0.00%,human
147,3,interdisciplinary,native,original,,DetectGPT,62.00%,ai
148,4,interdisciplinary,non-native,original,,DetectGPT,100.00%,ai
149,5,tech&engineering,non-native,original,,DetectGPT,0.00%,human
150,6,tech&engineering,non-native,original,,DetectGPT,0.00%,human
151,7,social,native,original,,DetectGPT,84.00%,ai
152,8,interdisciplinary,native,original,,DetectGPT,33.00%,mixed
153,9,tech&engineering,native,original,,DetectGPT,0.00%,human
154,10,social,non-native,original,,DetectGPT,0.00%,human
155,11,tech&engineering,native,original,,DetectGPT,100.00%,ai
156,12,tech&engineering,non-native,original,,DetectGPT,92.00%,ai
157,13,tech&engineering,native,original,,DetectGPT,0.00%,human
158,14,tech&engineering,native,original,,DetectGPT,21.00%,human
159,15,social,non-native,original,,DetectGPT,0.00%,human
160,16,interdisciplinary,native,original,,DetectGPT,0.00%,human
161,17,tech&engineering,native,original,,DetectGPT,0.00%,human
162,18,interdisciplinary,non-native,original,,DetectGPT,99.00%,ai
163,19,social,non-native,original,,DetectGPT,0.00%,human
164,20,tech&engineering,native,original,,DetectGPT,96.00%,ai
165,21,interdisciplinary,non-native,original,,DetectGPT,0.00%,human
166,22,tech&engineering,non-native,original,,DetectGPT,84.00%,ai
167,23,tech&engineering,non-native,original,,DetectGPT,68.00%,ai
168,24,interdisciplinary,native,original,,DetectGPT,0.00%,human
169,25,social,native,original,,DetectGPT,0.00%,human
170,26,interdisciplinary,native,original,,DetectGPT,2.00%,human
171,27,interdisciplinary,non-native,original,,DetectGPT,100.00%,ai
172,28,tech&engineering,native,original,,DetectGPT,9.00%,human
173,29,interdisciplinary,native,original,,DetectGPT,100.00%,ai
174,30,social,non-native,original,,DetectGPT,0.00%,human
175,31,social,native,original,,DetectGPT,0.00%,human
176,32,tech&engineering,non-native,original,,DetectGPT,0.00%,human
177,33,social,native,original,,DetectGPT,0.00%,human
178,34,interdisciplinary,native,original,,DetectGPT,0.00%,human
179,35,social,non-native,original,,DetectGPT,0.00%,human
180,36,interdisciplinary,non-native,original,,DetectGPT,88.00%,ai
181,37,tech&engineering,non-native,original,,DetectGPT,0.00%,human
182,38,social,native,original,,DetectGPT,100.00%,ai
183,39,interdisciplinary,native,original,,DetectGPT,2.00%,human
184,40,tech&engineering,native,original,,DetectGPT,72.00%,ai
185,41,tech&engineering,non-native,original,,DetectGPT,81.00%,ai
186,42,interdisciplinary,non-native,original,,DetectGPT,100.00%,ai
187,43,interdisciplinary,native,original,,DetectGPT,0.00%,human
188,44,social,non-native,original,,DetectGPT,0.00%,human
189,45,tech&engineering,native,original,,DetectGPT,0.00%,human
190,46,interdisciplinary,native,original,,DetectGPT,100.00%,ai
191,47,social,non-native,original,,DetectGPT,0.00%,human
192,48,tech&engineering,native,original,,DetectGPT,0.00%,human
193,49,interdisciplinary,non-native,original,,DetectGPT,87.00%,ai
194,50,tech&engineering,non-native,original,,DetectGPT,0.00%,human
195,51,social,native,original,,DetectGPT,0.00%,human
196,52,social,non-native,original,,DetectGPT,0.00%,human
197,53,tech&engineering,non-native,original,,DetectGPT,100.00%,ai
198,54,social,non-native,original,,DetectGPT,0.00%,human
199,55,tech&engineering,non-native,original,,DetectGPT,100.00%,ai
200,56,social,native,original,,DetectGPT,2.00%,human
201,57,tech&engineering,non-native,original,,DetectGPT,0.00%,human
202,58,social,non-native,original,,DetectGPT,0.00%,human
203,59,interdisciplinary,non-native,original,,DetectGPT,0.00%,human
204,60,interdisciplinary,non-native,original,,DetectGPT,0.00%,human
205,61,interdisciplinary,native,original,,DetectGPT,0.00%,human
206,62,social,native,original,,DetectGPT,0.00%,human
207,63,tech&engineering,native,original,,DetectGPT,86.00%,ai
208,64,tech&engineering,native,original,,DetectGPT,0.00%,human
209,65,interdisciplinary,non-native,original,,DetectGPT,3.00%,human
210,66,interdisciplinary,non-native,original,,DetectGPT,0.00%,human
211,67,interdisciplinary,native,original,,DetectGPT,0.00%,human
212,68,social,non-native,original,,DetectGPT,100.00%,ai
213,69,interdisciplinary,non-native,original,,DetectGPT,0.00%,human
214,70,social,native,original,,DetectGPT,2.00%,human
215,71,social,native,original,,DetectGPT,0.00%,human
216,72,social,native,original,,DetectGPT,0.00%,human
217,1,social,non-native,generated,ChatGPT,GPTZero,100.00%,ai
218,2,social,native,generated,ChatGPT,GPTZero,100.00%,ai
219,3,interdisciplinary,native,generated,ChatGPT,GPTZero,100.00%,ai
220,4,interdisciplinary,non-native,generated,ChatGPT,GPTZero,100.00%,ai
221,5,tech&engineering,non-native,generated,ChatGPT,GPTZero,100.00%,ai
222,6,tech&engineering,non-native,generated,ChatGPT,GPTZero,100.00%,ai
223,7,social,native,generated,ChatGPT,GPTZero,100.00%,ai
224,8,interdisciplinary,native,generated,ChatGPT,GPTZero,100.00%,ai
225,9,tech&engineering,native,generated,ChatGPT,GPTZero,100.00%,ai
226,10,social,non-native,generated,ChatGPT,GPTZero,100.00%,ai
227,11,tech&engineering,native,generated,ChatGPT,GPTZero,89.00%,ai
228,12,tech&engineering,non-native,generated,ChatGPT,GPTZero,100.00%,ai
229,13,tech&engineering,native,generated,ChatGPT,GPTZero,100.00%,ai
230,14,tech&engineering,native,generated,ChatGPT,GPTZero,100.00%,ai
231,15,social,non-native,generated,ChatGPT,GPTZero,100.00%,ai
232,16,interdisciplinary,native,generated,ChatGPT,GPTZero,100.00%,ai
233,17,tech&engineering,native,generated,ChatGPT,GPTZero,100.00%,ai
234,18,interdisciplinary,non-native,generated,ChatGPT,GPTZero,100.00%,ai
235,19,social,non-native,generated,ChatGPT,GPTZero,100.00%,ai
236,20,tech&engineering,native,generated,ChatGPT,GPTZero,100.00%,ai
237,21,interdisciplinary,non-native,generated,ChatGPT,GPTZero,100.00%,ai
238,22,tech&engineering,non-native,generated,ChatGPT,GPTZero,100.00%,ai
239,23,tech&engineering,non-native,generated,ChatGPT,GPTZero,100.00%,ai
240,24,interdisciplinary,native,generated,ChatGPT,GPTZero,87.00%,ai
241,25,social,native,generated,ChatGPT,GPTZero,100.00%,ai
242,26,interdisciplinary,native,generated,ChatGPT,GPTZero,42.00%,human
243,27,interdisciplinary,non-native,generated,ChatGPT,GPTZero,8.00%,human
244,28,tech&engineering,native,generated,ChatGPT,GPTZero,100.00%,ai
245,29,interdisciplinary,native,generated,ChatGPT,GPTZero,100.00%,ai
246,30,social,non-native,generated,ChatGPT,GPTZero,100.00%,ai
247,31,social,native,generated,ChatGPT,GPTZero,100.00%,ai
248,32,tech&engineering,non-native,generated,ChatGPT,GPTZero,100.00%,ai
249,33,social,native,generated,ChatGPT,GPTZero,71.00%,ai
250,34,interdisciplinary,native,generated,ChatGPT,GPTZero,100.00%,ai
251,35,social,non-native,generated,ChatGPT,GPTZero,100.00%,ai
252,36,interdisciplinary,non-native,generated,ChatGPT,GPTZero,8.00%,human
253,37,tech&engineering,non-native,generated,ChatGPT,GPTZero,100.00%,ai
254,38,social,native,generated,ChatGPT,GPTZero,100.00%,ai
255,39,interdisciplinary,native,generated,ChatGPT,GPTZero,100.00%,ai
256,40,tech&engineering,native,generated,ChatGPT,GPTZero,100.00%,ai
257,41,tech&engineering,non-native,generated,ChatGPT,GPTZero,100.00%,ai
258,42,interdisciplinary,non-native,generated,ChatGPT,GPTZero,76.00%,ai
259,43,interdisciplinary,native,generated,ChatGPT,GPTZero,100.00%,ai
260,44,social,non-native,generated,ChatGPT,GPTZero,100.00%,ai
261,45,tech&engineering,native,generated,ChatGPT,GPTZero,100.00%,ai
262,46,interdisciplinary,native,generated,ChatGPT,GPTZero,100.00%,ai
263,47,social,non-native,generated,ChatGPT,GPTZero,100.00%,ai
264,48,tech&engineering,native,generated,ChatGPT,GPTZero,75.00%,ai
265,49,interdisciplinary,non-native,generated,ChatGPT,GPTZero,84.00%,ai
266,50,tech&engineering,non-native,generated,ChatGPT,GPTZero,100.00%,ai
267,51,social,native,generated,ChatGPT,GPTZero,100.00%,ai
268,52,social,non-native,generated,ChatGPT,GPTZero,100.00%,ai
269,53,tech&engineering,non-native,generated,ChatGPT,GPTZero,100.00%,ai
270,54,social,non-native,generated,ChatGPT,GPTZero,100.00%,ai
271,55,tech&engineering,non-native,generated,ChatGPT,GPTZero,100.00%,ai
272,56,social,native,generated,ChatGPT,GPTZero,100.00%,ai
273,57,tech&engineering,non-native,generated,ChatGPT,GPTZero,98.00%,ai
274,58,social,non-native,generated,ChatGPT,GPTZero,18.00%,human
275,59,interdisciplinary,non-native,generated,ChatGPT,GPTZero,100.00%,ai
276,60,interdisciplinary,non-native,generated,ChatGPT,GPTZero,100.00%,ai
277,61,interdisciplinary,native,generated,ChatGPT,GPTZero,100.00%,ai
278,62,social,native,generated,ChatGPT,GPTZero,100.00%,ai
279,63,tech&engineering,native,generated,ChatGPT,GPTZero,100.00%,ai
280,64,tech&engineering,native,generated,ChatGPT,GPTZero,100.00%,ai
281,65,interdisciplinary,non-native,generated,ChatGPT,GPTZero,58.00%,ai
282,66,interdisciplinary,non-native,generated,ChatGPT,GPTZero,69.00%,ai
283,67,interdisciplinary,native,generated,ChatGPT,GPTZero,100.00%,ai
284,68,social,non-native,generated,ChatGPT,GPTZero,100.00%,ai
285,69,interdisciplinary,non-native,generated,ChatGPT,GPTZero,100.00%,ai
286,70,social,native,generated,ChatGPT,GPTZero,75.00%,ai
287,71,social,native,generated,ChatGPT,GPTZero,100.00%,ai
288,72,social,native,generated,ChatGPT,GPTZero,100.00%,ai
289,1,social,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
290,2,social,native,generated,ChatGPT,ZeroGPT,36.67%,ai
291,3,interdisciplinary,native,generated,ChatGPT,ZeroGPT,42.86%,ai
292,4,interdisciplinary,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
293,5,tech&engineering,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
294,6,tech&engineering,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
295,7,social,native,generated,ChatGPT,ZeroGPT,75.31%,ai
296,8,interdisciplinary,native,generated,ChatGPT,ZeroGPT,0.00%,human
297,9,tech&engineering,native,generated,ChatGPT,ZeroGPT,0.00%,human
298,10,social,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
299,11,tech&engineering,native,generated,ChatGPT,ZeroGPT,0.00%,human
300,12,tech&engineering,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
301,13,tech&engineering,native,generated,ChatGPT,ZeroGPT,0.00%,human
302,14,tech&engineering,native,generated,ChatGPT,ZeroGPT,0.00%,human
303,15,social,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
304,16,interdisciplinary,native,generated,ChatGPT,ZeroGPT,0.00%,human
305,17,tech&engineering,native,generated,ChatGPT,ZeroGPT,0.00%,human
306,18,interdisciplinary,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
307,19,social,non-native,generated,ChatGPT,ZeroGPT,37.01%,ai
308,20,tech&engineering,native,generated,ChatGPT,ZeroGPT,0.00%,human
309,21,interdisciplinary,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
310,22,tech&engineering,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
311,23,tech&engineering,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
312,24,interdisciplinary,native,generated,ChatGPT,ZeroGPT,0.00%,human
313,25,social,native,generated,ChatGPT,ZeroGPT,0.00%,human
314,26,interdisciplinary,native,generated,ChatGPT,ZeroGPT,0.00%,human
315,27,interdisciplinary,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
316,28,tech&engineering,native,generated,ChatGPT,ZeroGPT,0.00%,human
317,29,interdisciplinary,native,generated,ChatGPT,ZeroGPT,0.00%,human
318,30,social,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
319,31,social,native,generated,ChatGPT,ZeroGPT,0.00%,human
320,32,tech&engineering,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
321,33,social,native,generated,ChatGPT,ZeroGPT,0.00%,human
322,34,interdisciplinary,native,generated,ChatGPT,ZeroGPT,0.00%,human
323,35,social,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
324,36,interdisciplinary,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
325,37,tech&engineering,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
326,38,social,native,generated,ChatGPT,ZeroGPT,0.00%,human
327,39,interdisciplinary,native,generated,ChatGPT,ZeroGPT,0.00%,human
328,40,tech&engineering,native,generated,ChatGPT,ZeroGPT,0.00%,human
329,41,tech&engineering,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
330,42,interdisciplinary,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
331,43,interdisciplinary,native,generated,ChatGPT,ZeroGPT,0.00%,human
332,44,social,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
333,45,tech&engineering,native,generated,ChatGPT,ZeroGPT,0.00%,human
334,46,interdisciplinary,native,generated,ChatGPT,ZeroGPT,0.00%,human
335,47,social,non-native,generated,ChatGPT,ZeroGPT,26.25%,ai
336,48,tech&engineering,native,generated,ChatGPT,ZeroGPT,0.00%,human
337,49,interdisciplinary,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
338,50,tech&engineering,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
339,51,social,native,generated,ChatGPT,ZeroGPT,0.00%,human
340,52,social,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
341,53,tech&engineering,non-native,generated,ChatGPT,ZeroGPT,33.56%,ai
342,54,social,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
343,55,tech&engineering,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
344,56,social,native,generated,ChatGPT,ZeroGPT,0.00%,human
345,57,tech&engineering,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
346,58,social,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
347,59,interdisciplinary,non-native,generated,ChatGPT,ZeroGPT,35.03%,ai
348,60,interdisciplinary,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
349,61,interdisciplinary,native,generated,ChatGPT,ZeroGPT,32.03%,ai
350,62,social,native,generated,ChatGPT,ZeroGPT,0.00%,human
351,63,tech&engineering,native,generated,ChatGPT,ZeroGPT,0.00%,human
352,64,tech&engineering,native,generated,ChatGPT,ZeroGPT,0.00%,human
353,65,interdisciplinary,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
354,66,interdisciplinary,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
355,67,interdisciplinary,native,generated,ChatGPT,ZeroGPT,22.73%,ai
356,68,social,non-native,generated,ChatGPT,ZeroGPT,0.00%,human
357,69,interdisciplinary,non-native,generated,ChatGPT,ZeroGPT,34.46%,ai
358,70,social,native,generated,ChatGPT,ZeroGPT,60.00%,ai
359,71,social,native,generated,ChatGPT,ZeroGPT,0.00%,human
360,72,social,native,generated,ChatGPT,ZeroGPT,0.00%,human
361,1,social,non-native,generated,ChatGPT,DetectGPT,0.00%,human
362,2,social,native,generated,ChatGPT,DetectGPT,0.00%,human
363,3,interdisciplinary,native,generated,ChatGPT,DetectGPT,85.00%,ai
364,4,interdisciplinary,non-native,generated,ChatGPT,DetectGPT,0.00%,human
365,5,tech&engineering,non-native,generated,ChatGPT,DetectGPT,0.00%,human
366,6,tech&engineering,non-native,generated,ChatGPT,DetectGPT,0.00%,human
367,7,social,native,generated,ChatGPT,DetectGPT,100.00%,ai
368,8,interdisciplinary,native,generated,ChatGPT,DetectGPT,0.00%,human
369,9,tech&engineering,native,generated,ChatGPT,DetectGPT,0.00%,human
370,10,social,non-native,generated,ChatGPT,DetectGPT,100.00%,ai
371,11,tech&engineering,native,generated,ChatGPT,DetectGPT,0.00%,human
372,12,tech&engineering,non-native,generated,ChatGPT,DetectGPT,100.00%,ai
373,13,tech&engineering,native,generated,ChatGPT,DetectGPT,100.00%,ai
374,14,tech&engineering,native,generated,ChatGPT,DetectGPT,0.00%,human
375,15,social,non-native,generated,ChatGPT,DetectGPT,0.00%,human
376,16,interdisciplinary,native,generated,ChatGPT,DetectGPT,0.00%,human
377,17,tech&engineering,native,generated,ChatGPT,DetectGPT,0.00%,human
378,18,interdisciplinary,non-native,generated,ChatGPT,DetectGPT,0.00%,human
379,19,social,non-native,generated,ChatGPT,DetectGPT,0.00%,human
380,20,tech&engineering,native,generated,ChatGPT,DetectGPT,0.00%,human
381,21,interdisciplinary,non-native,generated,ChatGPT,DetectGPT,100.00%,ai
382,22,tech&engineering,non-native,generated,ChatGPT,DetectGPT,100.00%,ai
383,23,tech&engineering,non-native,generated,ChatGPT,DetectGPT,84.00%,ai
384,24,interdisciplinary,native,generated,ChatGPT,DetectGPT,0.00%,human
385,25,social,native,generated,ChatGPT,DetectGPT,0.00%,human
386,26,interdisciplinary,native,generated,ChatGPT,DetectGPT,100.00%,ai
387,27,interdisciplinary,non-native,generated,ChatGPT,DetectGPT,100.00%,ai
388,28,tech&engineering,native,generated,ChatGPT,DetectGPT,100.00%,ai
389,29,interdisciplinary,native,generated,ChatGPT,DetectGPT,0.00%,human
390,30,social,non-native,generated,ChatGPT,DetectGPT,100.00%,ai
391,31,social,native,generated,ChatGPT,DetectGPT,0.00%,human
392,32,tech&engineering,non-native,generated,ChatGPT,DetectGPT,0.00%,human
393,33,social,native,generated,ChatGPT,DetectGPT,0.00%,human
394,34,interdisciplinary,native,generated,ChatGPT,DetectGPT,0.00%,human
395,35,social,non-native,generated,ChatGPT,DetectGPT,100.00%,ai
396,36,interdisciplinary,non-native,generated,ChatGPT,DetectGPT,0.00%,human
397,37,tech&engineering,non-native,generated,ChatGPT,DetectGPT,0.00%,human
398,38,social,native,generated,ChatGPT,DetectGPT,100.00%,ai
399,39,interdisciplinary,native,generated,ChatGPT,DetectGPT,100.00%,ai
400,40,tech&engineering,native,generated,ChatGPT,DetectGPT,0.00%,human
401,41,tech&engineering,non-native,generated,ChatGPT,DetectGPT,100.00%,ai
402,42,interdisciplinary,non-native,generated,ChatGPT,DetectGPT,0.00%,human
403,43,interdisciplinary,native,generated,ChatGPT,DetectGPT,0.00%,human
404,44,social,non-native,generated,ChatGPT,DetectGPT,0.00%,human
405,45,tech&engineering,native,generated,ChatGPT,DetectGPT,0.00%,human
406,46,interdisciplinary,native,generated,ChatGPT,DetectGPT,89.00%,ai
407,47,social,non-native,generated,ChatGPT,DetectGPT,0.00%,human
408,48,tech&engineering,native,generated,ChatGPT,DetectGPT,100.00%,ai
409,49,interdisciplinary,non-native,generated,ChatGPT,DetectGPT,0.00%,human
410,50,tech&engineering,non-native,generated,ChatGPT,DetectGPT,0.00%,human
411,51,social,native,generated,ChatGPT,DetectGPT,0.00%,human
412,52,social,non-native,generated,ChatGPT,DetectGPT,100.00%,ai
413,53,tech&engineering,non-native,generated,ChatGPT,DetectGPT,100.00%,ai
414,54,social,non-native,generated,ChatGPT,DetectGPT,100.00%,ai
415,55,tech&engineering,non-native,generated,ChatGPT,DetectGPT,0.00%,human
416,56,social,native,generated,ChatGPT,DetectGPT,0.00%,human
417,57,tech&engineering,non-native,generated,ChatGPT,DetectGPT,0.00%,human
418,58,social,non-native,generated,ChatGPT,DetectGPT,100.00%,ai
